The Ghost Writer , http://www.imdb.com/title/tt1139328/?ref_=fn_tt_tt_1, France, $45,000,000, $15,523,168(USA)(11June2010), false
Bran Nue Dae , http://www.imdb.com/title/tt1148165/?ref_=fn_tt_tt_1, Australia, AUD 6,500,000, $110,029(USA)(2October2010), true
Micmacs , http://www.imdb.com/title/tt1149361/?ref_=fn_tt_tt_1, France, €27,000,000, $1,260,917(USA)(15October2010), true
The White Ribbon , http://www.imdb.com/title/tt1149362/?ref_=fn_tt_tt_1, Germany, €12,000,000, $2,222,647(USA)(28May2010), true
Man on Wire , http://www.imdb.com/title/tt1155592/?ref_=fn_tt_tt_1, UK, £1,000,000, $2,957,978(USA)(27February2009), true
An Education , http://www.imdb.com/title/tt1174732/?ref_=fn_tt_tt_1, UK, £4,500,000, $12,574,715(USA)(30April2010), true
Me and Orson Welles , http://www.imdb.com/title/tt1175506/?ref_=fn_tt_tt_1, UK, $25,000,000, $1,186,957(USA)(19February2010), false
From Paris with Love , http://www.imdb.com/title/tt1179034/?ref_=fn_tt_tt_1, France, $52,000,000, $23,324,666(USA)(26February2010), false
Chéri , http://www.imdb.com/title/tt1179258/?ref_=fn_tt_tt_1, UK, $23,000,000, $2,708,188(USA)(21August2009), false
Moon , http://www.imdb.com/title/tt1182345/?ref_=fn_tt_tt_1, UK, $5,000,000, $5,009,677(USA)(13November2009), false
Waltz with Bashir , http://www.imdb.com/title/tt1185616/?ref_=fn_tt_tt_1, Israel, $1,500,000, $2,283,276(USA)(8May2009), false
Agora , http://www.imdb.com/title/tt1186830/?ref_=fn_tt_tt_1, Spain, $70,000,000, $617,840(USA)(15October2010), false
Pandorum , http://www.imdb.com/title/tt1188729/?ref_=fn_tt_tt_1, Germany, $33,000,000, $10,326,062(USA)(13November2009), false
My Name Is Khan , http://www.imdb.com/title/tt1188996/?ref_=fn_tt_tt_1, India, $12,000,000, $4,018,695(USA)(30April2010), false
Enter the Void , http://www.imdb.com/title/tt1191111/?ref_=fn_tt_tt_1, France, €13,000,000, $336,467(USA)(24December2010), true
Casino Jack , http://www.imdb.com/title/tt1194417/?ref_=fn_tt_tt_1, Canada, $15,000,000, $1,039,869(USA)(1April2011), false
The World's End , http://www.imdb.com/title/tt1213663/?ref_=fn_tt_tt_1, UK, $20,000,000, $26,003,149(USA)(29November2013), false
Resident Evil: Afterlife , http://www.imdb.com/title/tt1220634/?ref_=fn_tt_tt_1, Germany, $60,000,000, $60,128,566(USA)(29October2010), false
I Am Love , http://www.imdb.com/title/tt1226236/?ref_=fn_tt_tt_1, Italy, $10,000,000, $5,004,648(USA)(26November2010), false
The Damned United , http://www.imdb.com/title/tt1226271/?ref_=fn_tt_tt_1, UK, $10,000,000, $449,558(USA)(5February2010), false
Edge of Darkness , http://www.imdb.com/title/tt1226273/?ref_=fn_tt_tt_1, UK, $80,000,000, $43,290,977(USA)(2April2010), false
Pontypool , http://www.imdb.com/title/tt1226681/?ref_=fn_tt_tt_1, Canada, $1,500,000, $3,478(USA)(5June2009), false
Let Me In , http://www.imdb.com/title/tt1228987/?ref_=fn_tt_tt_1, UK, $20,000,000, $12,134,420(USA)(3December2010), false
